epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.91316,2.61084,3.83884,2.19316,0,0,0,0,5.22816,8.53931,3.49725,3.334e-05,3.334e-05,3.334e-05
2,22.4366,2.93808,4.33372,2.37175,0.00587,0.57143,0.22919,0.05482,2.94487,4.97907,1.86398,8.05995e-05,8.05995e-05,8.05995e-05
3,36.8352,1.92547,3.2356,1.79732,0.01011,1,0.75036,0.32732,1.68042,3.7576,1.34775,0.000124558,0.000124558,0.000124558
4,50.2048,1.78388,2.89077,1.52545,0.00926,0.92857,0.73911,0.24576,2.17923,3.60258,1.57432,0.000165216,0.000165216,0.000165216
5,63.5772,1.62235,2.69022,1.53263,0.00887,0.92857,0.59723,0.12955,2.72696,3.6762,1.77148,0.000202574,0.000202574,0.000202574
6,76.4836,1.73804,2.53948,1.4942,0.00942,1,0.53122,0.20147,2.06871,3.68125,1.42941,0.000236631,0.000236631,0.000236631
7,89.4828,1.58113,2.29731,1.4689,0.00925,1,0.55572,0.24631,2.0199,3.5003,1.34969,0.000267387,0.000267387,0.000267387
8,102.419,1.68293,2.1702,1.36366,0.00919,1,0.65141,0.27633,2.04408,3.46016,1.3256,0.000294842,0.000294842,0.000294842
9,115.249,1.83275,2.38521,1.33717,0.00913,1,0.74067,0.31961,1.86616,3.36095,1.18835,0.000318997,0.000318997,0.000318997
10,128.265,1.50497,2.14497,1.34725,0.00917,1,0.69717,0.30983,1.73384,3.3378,1.18249,0.000339851,0.000339851,0.000339851
11,141.788,1.30449,1.95433,1.24272,0.00779,0.85714,0.48557,0.20849,2.11264,3.74898,1.29796,0.000357405,0.000357405,0.000357405
12,155.164,1.54622,2.09595,1.38109,0.00663,0.71429,0.31993,0.10925,2.50413,4.17817,1.47617,0.000371658,0.000371658,0.000371658
13,169.939,1.60424,2.11406,1.26863,0.00845,0.92857,0.31222,0.11251,1.98905,3.82041,1.38593,0.00038261,0.00038261,0.00038261
14,183.765,1.41643,1.81805,1.20984,0.1438,0.57143,0.22296,0.08255,2.08084,3.70512,1.3823,0.000390261,0.000390261,0.000390261
15,200.679,1.7327,2.03091,1.41324,0.36955,0.57143,0.39095,0.12002,2.01192,3.66067,1.42569,0.000394612,0.000394612,0.000394612
16,215.457,1.35488,1.70038,1.29216,0.39322,0.23303,0.4649,0.16584,1.86671,3.57329,1.39842,0.000395662,0.000395662,0.000395662
17,235.091,1.38172,1.75903,1.24711,0.381,0.13381,0.53357,0.27432,1.57993,3.15953,1.19473,0.000393412,0.000393412,0.000393412
18,259.384,1.3465,1.83027,1.22581,0.48795,0.6136,0.59941,0.29971,1.56719,3.0424,1.15721,0.000387861,0.000387861,0.000387861
19,282.836,1.40249,1.85433,1.21934,0.35322,0.66371,0.62854,0.31418,1.63005,3.01589,1.13259,0.000379009,0.000379009,0.000379009
20,306.782,1.41195,1.74174,1.23774,0.44412,0.71429,0.73019,0.34729,1.75481,3.00379,1.15145,0.000366857,0.000366857,0.000366857
21,329.734,1.29603,2.59844,1.36263,0.61768,0.5774,0.66082,0.29971,1.86516,2.83744,1.17377,0.000351404,0.000351404,0.000351404
22,354.753,1.4182,2.19202,1.26102,0.63599,0.625,0.67851,0.27901,1.99662,2.70914,1.21521,0.00033265,0.00033265,0.00033265
23,377.544,1.73742,2.99119,1.62897,0.43659,0.57143,0.53276,0.24058,2.08773,2.69734,1.40007,0.000310595,0.000310595,0.000310595
24,400.664,1.49697,2.22858,1.26298,0.42567,0.57143,0.52057,0.24946,2.07142,2.78796,1.39713,0.00028524,0.00028524,0.00028524
25,412.744,1.30818,2.06429,1.25987,0.66319,0.71429,0.73747,0.31636,1.93599,2.62055,1.28797,0.000256585,0.000256585,0.000256585
26,424.898,1.35553,2.12821,1.2577,0.52685,0.64286,0.65371,0.33656,1.88511,2.54596,1.26195,0.000224628,0.000224628,0.000224628
27,439.003,1.43946,2.22434,1.32289,0.6657,0.78571,0.74414,0.35687,1.81157,2.52608,1.21426,0.000189371,0.000189371,0.000189371
28,452.207,1.39815,2.09407,1.3255,0.74321,0.85714,0.84605,0.34584,1.826,2.60403,1.19558,0.000150813,0.000150813,0.000150813
29,464.501,1.3847,2.37449,1.27846,0.74321,0.85714,0.84605,0.34584,1.826,2.60403,1.19558,0.000108955,0.000108955,0.000108955
30,477.27,1.31133,2.07196,1.25596,0.78868,0.92857,0.896,0.36934,1.80059,2.55425,1.15292,6.37961e-05,6.37961e-05,6.37961e-05
